t,x,y
7.507500000E-1,-3.509047662E-2,-7.325146336E-2
7.674333333E-1,-2.879992495E-2,-7.551579117E-2
7.841166667E-1,-1.477607847E-2,-8.012637083E-2
8.008000000E-1,2.083054463E-4,-8.204744569E-2
8.174833333E-1,1.442425942E-2,-8.147112323E-2
8.341666667E-1,2.691124601E-2,-7.858951094E-2
8.508500000E-1,3.555608289E-2,-7.474736122E-2
8.675333333E-1,4.074298501E-2,-7.301839385E-2
8.842166667E-1,4.208773741E-2,-7.224996390E-2
9.009000000E-1,3.939823261E-2,-7.378682379E-2
9.175833333E-1,3.325079305E-2,-7.628422111E-2
9.342666667E-1,2.230066635E-2,-7.993426335E-2
9.509500000E-1,1.000578724E-2,-8.166323072E-2
9.676333333E-1,-2.673306845E-3,-8.185533821E-2
9.843166667E-1,-1.381554104E-2,-8.051058580E-2
1.001000000E0,-2.303670037E-2,-7.782108100E-2
1.017683333E0,-2.879992495E-2,-7.570789865E-2
1.034366667E0,-3.148942976E-2,-7.436314625E-2
1.051050000E0,-3.072099981E-2,-7.513157619E-2
1.067733333E0,-2.707095758E-2,-7.666843608E-2
1.084416667E0,-1.842612070E-2,-7.897372592E-2
1.101100000E0,-9.781283831E-3,-8.147112323E-2
1.117783333E0,1.168842877E-3,-8.204744569E-2
1.134466667E0,1.077421718E-2,-8.185533821E-2
1.151150000E0,1.922694657E-2,-8.031847832E-2
1.167833333E0,2.537438612E-2,-7.878161843E-2
1.184516667E0,2.960075082E-2,-7.762897351E-2
1.201200000E0,2.998496579E-2,-7.724475854E-2
1.217883333E0,2.767967596E-2,-7.839740346E-2
1.234566667E0,2.249277383E-2,-7.974215586E-2
1.251250000E0,1.576901182E-2,-8.070269329E-2
1.267933333E0,6.547852487E-3,-8.185533821E-2
1.284616667E0,-1.520661929E-3,-8.185533821E-2
1.301300000E0,-9.781283831E-3,-8.108690826E-2
1.317983333E0,-1.592872339E-2,-7.993426335E-2
1.334666667E0,-1.977087311E-2,-7.916583340E-2
1.351350000E0,-2.111562551E-2,-7.858951094E-2
1.368033333E0,-2.015508808E-2,-7.878161843E-2
1.384716667E0,-1.650504584E-2,-8.012637083E-2
1.401400000E0,-1.074182126E-2,-8.051058580E-2
1.418083333E0,-4.402274220E-3,-8.147112323E-2
1.434766667E0,3.089917738E-3,-8.204744569E-2
1.451450000E0,9.813679751E-3,-8.147112323E-2
1.468133333E0,1.538479685E-2,-8.108690826E-2
1.484816667E0,1.941905406E-2,-8.031847832E-2
1.501500000E0,2.134012892E-2,-8.031847832E-2
1.518183333E0,2.076380646E-2,-8.031847832E-2
1.534866667E0,1.865062411E-2,-8.070269329E-2
1.551550000E0,1.480847439E-2,-8.089480078E-2
1.568233333E0,9.429464779E-3,-8.185533821E-2
1.584916667E0,2.513595279E-3,-8.223955318E-2
1.601600000E0,-3.441736790E-3,-8.185533821E-2
1.618283333E0,-7.668101484E-3,-8.166323072E-2
1.634966667E0,-1.208657366E-2,-8.070269329E-2
1.651650000E0,-1.362343355E-2,-8.051058580E-2
1.668333333E0,-1.323921858E-2,-8.051058580E-2
1.685016667E0,-1.151025121E-2,-8.070269329E-2
1.701700000E0,-8.244423942E-3,-8.147112323E-2
1.718383333E0,-4.402274220E-3,-8.185533821E-2
1.735066667E0,1.553057849E-3,-8.223955318E-2
1.751750000E0,4.818885113E-3,-8.185533821E-2
1.768433333E0,1.000578724E-2,-8.185533821E-2
1.785116667E0,1.288739953E-2,-8.127901575E-2
1.801800000E0,1.480847439E-2,-8.127901575E-2
1.818483333E0,1.500058188E-2,-8.070269329E-2
1.835166667E0,1.365582947E-2,-8.147112323E-2
1.851850000E0,1.135053964E-2,-8.185533821E-2
1.868533333E0,7.316282432E-3,-8.204744569E-2
1.885216667E0,3.666240196E-3,-8.243166066E-2
1.901900000E0,-1.759095259E-4,-8.185533821E-2
1.918583333E0,-3.633844276E-3,-8.108690826E-2
1.935266667E0,-6.131241595E-3,-8.147112323E-2
1.951950000E0,-7.860208970E-3,-8.127901575E-2
1.968633333E0,-8.628638914E-3,-8.108690826E-2
1.985316667E0,-7.283886511E-3,-8.166323072E-2
2.002000000E0,-5.170704164E-3,-8.166323072E-2
2.018683333E0,-2.289091873E-3,-8.185533821E-2
2.035366667E0,1.360950363E-3,-8.185533821E-2
2.052050000E0,4.242562654E-3,-8.185533821E-2
2.068733333E0,6.932067460E-3,-8.204744569E-2
2.085416667E0,9.045249807E-3,-8.204744569E-2
2.102100000E0,1.019789472E-2,-8.185533821E-2
2.118783333E0,1.096632467E-2,-8.166323072E-2
2.135466667E0,9.813679751E-3,-8.185533821E-2
2.152150000E0,8.276819862E-3,-8.185533821E-2
2.168833333E0,5.971530029E-3,-8.185533821E-2
2.185516667E0,3.474132710E-3,-8.185533821E-2
2.202200000E0,5.925204185E-4,-8.223955318E-2
2.218883333E0,-1.712769415E-3,-8.204744569E-2
2.235566667E0,-3.825951762E-3,-8.204744569E-2
2.252250000E0,-4.786489192E-3,-8.204744569E-2
2.268933333E0,-4.018059248E-3,-8.185533821E-2
2.285616667E0,-3.825951762E-3,-8.185533821E-2
2.302300000E0,-1.712769415E-3,-8.185533821E-2
2.318983333E0,-1.759095259E-4,-8.223955318E-2
2.335666667E0,1.937272821E-3,-8.223955318E-2
2.352350000E0,3.858347682E-3,-8.204744569E-2
2.369033333E0,6.163637515E-3,-8.204744569E-2
2.385716667E0,6.932067460E-3,-8.223955318E-2
2.402400000E0,7.508389918E-3,-8.204744569E-2
2.419083333E0,7.892604890E-3,-8.223955318E-2
2.435766667E0,7.316282432E-3,-8.223955318E-2
2.452450000E0,5.587315057E-3,-8.204744569E-2
2.469133333E0,3.858347682E-3,-8.223955318E-2
2.485816667E0,2.051542432E-3,-8.222858184E-2
2.502500000E0,3.643026058E-4,-8.222285250E-2
2.519183333E0,-1.029669751E-3,-8.220282835E-2
2.535866667E0,-1.969812705E-3,-8.219379771E-2
2.552550000E0,-2.331984652E-3,-8.220642994E-2
2.569233333E0,-2.134088214E-3,-8.219810326E-2
